﻿id,address,longitude,latitude,time,job_type,result,vehicle,distance,arrived_time,complete_time
SP001,서울특별시 송파구 오금동 29-18,127.126588,37.498637,13:22:15,normal,completed,vehicle_011,1.425,13:30:16,13:40:16
SP002,서울특별시 송파구 풍납동 28-30,127.114241,37.501265,12:45:50,emergency,completed,vehicle_011,0.933,12:48:35,12:58:35
SP003,서울특별시 송파구 거여동 186-40,127.118353,37.49353,12:30:52,normal,completed,vehicle_011,0.508,12:34:11,12:44:11
SP004,서울특별시 송파구 석촌동 38-33,127.155026,37.510372,13:52:41,call,completed,vehicle_013,1.891,14:02:39,14:12:39
SP005,서울특별시 송파구 풍납동 39-4,127.146841,37.527663,10:57:44,call,completed,vehicle_004,3.170,11:09:20,11:19:20
SP006,서울특별시 송파구 가락동 139-29,127.151696,37.500595,11:31:49,emergency,completed,vehicle_006,0.849,11:38:54,11:48:54
SP007,서울특별시 송파구 방이동 90-1,127.151369,37.500893,13:12:49,emergency,rejected,,,,
SP008,서울특별시 송파구 문정동 160-36,127.101572,37.517683,11:12:05,normal,completed,vehicle_001,0.319,11:14:00,11:24:00
SP009,서울특별시 송파구 잠실동 117-35,127.134463,37.531102,11:32:12,call,completed,vehicle_004,1.157,11:36:58,11:46:58
SP010,서울특별시 송파구 방이동 12-23,127.110698,37.52339,13:02:06,normal,completed,vehicle_014,0.837,13:09:25,13:19:25
SP011,서울특별시 송파구 방이동 113-26,127.159737,37.514232,12:04:06,call,completed,vehicle_008,3.718,12:18:58,12:28:58
SP012,서울특별시 송파구 방이동 39-46,127.109034,37.51598,12:31:35,call,completed,vehicle_014,2.294,12:41:47,12:51:47
SP013,서울특별시 송파구 마천동 74-4,127.157152,37.514856,13:06:34,normal,completed,vehicle_008,0.238,13:08:16,13:18:16
SP014,서울특별시 송파구 잠실동 96-36,127.115335,37.506924,10:32:26,emergency,completed,vehicle_013,1.102,10:37:22,10:47:22
SP015,서울특별시 송파구 석촌동 183-28,127.140495,37.537638,11:10:32,emergency,completed,vehicle_007,0.678,11:13:59,11:23:59
SP016,서울특별시 송파구 가락동 7-37,127.102535,37.503276,13:11:16,emergency,completed,vehicle_004,3.368,13:28:42,13:38:42
SP017,서울특별시 송파구 잠실본동 198-25,127.119034,37.518897,12:28:31,normal,completed,vehicle_012,1.105,12:41:17,12:51:17
SP018,서울특별시 송파구 오금동 87-49,127.119711,37.546499,12:03:52,normal,completed,vehicle_005,1.451,12:12:05,12:22:05
SP019,서울특별시 송파구 잠실동 51-38,127.125619,37.544626,13:45:37,call,completed,vehicle_015,1.198,13:51:08,14:01:08
SP020,서울특별시 송파구 잠실본동 14-3,127.127795,37.507599,10:04:27,normal,completed,vehicle_013,1.019,10:09:10,10:19:10
SP021,서울특별시 송파구 삼전동 111-6,127.136105,37.519377,11:07:03,normal,completed,vehicle_010,1.086,11:11:25,11:21:25
SP022,서울특별시 송파구 문정동 37-6,127.135778,37.542528,11:31:48,emergency,completed,vehicle_007,0.685,11:35:39,11:45:39
SP023,서울특별시 송파구 가락동 86-49,127.150569,37.51968,13:19:31,normal,completed,vehicle_008,0.790,13:26:11,13:36:11
SP024,서울특별시 송파구 석촌동 128-37,127.14899,37.523909,10:55:02,call,completed,vehicle_008,2.217,11:06:30,11:16:30
SP025,서울특별시 송파구 석촌동 149-37,127.137592,37.490722,11:41:27,normal,completed,vehicle_013,0.892,11:43:53,11:53:53
SP026,서울특별시 송파구 잠실본동 19-31,127.134073,37.491711,10:01:39,normal,completed,vehicle_004,0.582,10:04:27,10:14:27
SP027,서울특별시 송파구 잠실본동 99-14,127.119845,37.535604,12:46:10,emergency,completed,vehicle_009,0.986,12:53:06,13:03:06
SP028,서울특별시 송파구 잠실동 198-50,127.129887,37.504044,13:51:52,normal,completed,vehicle_011,0.668,13:57:43,14:07:43
SP029,서울특별시 송파구 잠실본동 60-45,127.136235,37.545073,13:39:05,call,completed,vehicle_008,3.094,13:54:24,14:04:24
SP030,서울특별시 송파구 거여동 158-21,127.150536,37.544912,10:28:42,normal,completed,vehicle_003,1.423,10:35:48,10:45:48
SP031,서울특별시 송파구 가락동 61-10,127.136121,37.522287,10:04:39,normal,completed,vehicle_008,1.064,10:13:17,10:23:17
SP032,서울특별시 송파구 삼전동 135-44,127.124239,37.527423,10:31:38,emergency,completed,vehicle_008,1.193,10:36:09,10:46:09
SP033,서울특별시 송파구 마천동 12-8,127.105594,37.538262,13:16:34,normal,completed,vehicle_005,2.060,13:29:35,13:39:35
SP034,서울특별시 송파구 방이동 120-38,127.13448,37.519871,12:52:00,emergency,completed,vehicle_004,1.561,13:01:11,13:11:11
SP035,서울특별시 송파구 방이동 132-17,127.147274,37.538868,11:46:59,call,completed,vehicle_004,1.422,11:55:15,12:05:15
SP036,서울특별시 송파구 가락동 101-21,127.129744,37.541737,12:43:11,normal,completed,vehicle_007,0.792,12:48:46,12:58:46
SP037,서울특별시 송파구 풍납동 106-18,127.137753,37.531939,10:33:07,emergency,completed,vehicle_007,2.467,10:42:55,10:52:55
SP038,서울특별시 송파구 거여동 30-23,127.13076,37.525289,12:42:47,call,completed,vehicle_015,1.100,12:52:29,13:02:29
SP039,서울특별시 송파구 방이동 28-13,127.142512,37.511034,10:50:40,call,completed,vehicle_010,1.673,10:54:59,11:04:59
SP040,서울특별시 송파구 방이동 133-37,127.129472,37.534295,13:29:33,call,completed,vehicle_015,1.008,13:33:47,13:43:47
SP041,서울특별시 송파구 잠실본동 2-28,127.114042,37.490501,11:47:57,call,completed,vehicle_011,1.208,11:56:29,12:06:29
SP042,서울특별시 송파구 풍납동 142-38,127.139119,37.495367,12:02:26,normal,completed,vehicle_002,3.312,12:15:19,12:25:19
SP043,서울특별시 송파구 거여동 6-43,127.146864,37.510357,13:07:28,emergency,completed,vehicle_007,3.802,13:27:46,13:37:46
SP044,서울특별시 송파구 가락동 118-46,127.141664,37.494029,13:01:30,call,completed,vehicle_011,2.550,13:11:20,13:21:20
SP045,서울특별시 송파구 문정동 168-17,127.122725,37.53729,11:52:23,normal,completed,vehicle_007,1.290,11:59:38,12:09:38
SP046,서울특별시 송파구 마천동 16-37,127.118911,37.50896,12:10:53,normal,completed,vehicle_012,1.092,12:15:00,12:25:00
SP047,서울특별시 송파구 잠실동 199-26,127.122766,37.522354,12:40:16,call,completed,vehicle_010,2.378,12:49:07,12:59:07
SP048,서울특별시 송파구 풍납동 139-5,127.132504,37.520751,13:29:23,emergency,completed,vehicle_009,2.084,13:40:49,13:50:49
SP049,서울특별시 송파구 방이동 189-46,127.101241,37.52319,12:49:38,emergency,completed,vehicle_006,4.166,13:08:12,13:18:12
SP050,서울특별시 송파구 잠실동 117-38,127.148604,37.533452,13:08:37,normal,completed,vehicle_003,1.286,13:15:48,13:25:48
SP051,서울특별시 송파구 마천동 124-21,127.134638,37.500847,10:39:52,call,completed,vehicle_004,1.017,10:46:21,10:56:21
SP052,서울특별시 송파구 마천동 56-29,127.126384,37.536204,10:22:31,call,completed,vehicle_005,1.947,10:33:50,10:43:50
SP053,서울특별시 송파구 잠실본동 136-7,127.1314,37.501224,11:51:38,emergency,completed,vehicle_006,1.792,11:59:28,12:09:28
SP054,서울특별시 송파구 잠실본동 139-31,127.101659,37.497397,10:18:05,normal,completed,vehicle_002,1.578,10:26:54,10:36:54
SP055,서울특별시 송파구 문정동 120-13,127.140613,37.507214,13:17:27,emergency,rejected,,,,
SP056,서울특별시 송파구 문정동 162-19,127.105934,37.524788,13:18:04,normal,completed,vehicle_001,1.290,13:28:42,13:38:42
SP057,서울특별시 송파구 가락동 19-9,127.156248,37.545616,11:17:26,emergency,completed,vehicle_008,2.497,11:23:57,11:33:57
SP058,서울특별시 송파구 오금동 24-33,127.128918,37.50153,11:52:41,normal,completed,vehicle_010,2.083,12:03:44,12:13:44
SP059,서울특별시 송파구 마천동 46-45,127.138558,37.51587,13:46:05,normal,completed,vehicle_003,2.146,13:59:01,14:09:01
SP060,서울특별시 송파구 삼전동 15-46,127.105339,37.540148,10:50:32,call,completed,vehicle_005,1.907,10:58:59,11:08:59
SP061,서울특별시 송파구 가락동 59-38,127.134504,37.508231,11:12:47,call,completed,vehicle_014,2.651,11:21:50,11:31:50
SP062,서울특별시 송파구 잠실본동 86-25,127.11922,37.530887,13:26:16,normal,completed,vehicle_014,1.122,13:35:52,13:45:52
SP063,서울특별시 송파구 풍납동 128-16,127.122836,37.520045,12:56:21,normal,completed,vehicle_012,0.359,13:01:32,13:11:32
SP064,서울특별시 송파구 풍납동 121-16,127.108984,37.518955,13:07:20,emergency,completed,vehicle_009,2.084,13:15:41,13:25:41
SP065,서울특별시 송파구 마천동 161-48,127.139833,37.507162,13:42:06,emergency,completed,vehicle_007,0.715,13:46:02,13:56:02
SP066,서울특별시 송파구 오금동 163-6,127.130604,37.505647,11:01:53,normal,completed,vehicle_013,1.354,11:09:21,11:19:21
SP067,서울특별시 송파구 방이동 52-49,127.125739,37.499586,12:53:45,normal,completed,vehicle_002,1.270,12:57:30,13:07:30
SP068,서울특별시 송파구 가락동 54-45,127.15086,37.490724,13:10:40,call,completed,vehicle_002,2.425,13:25:13,13:35:13
SP069,서울특별시 송파구 가락동 11-12,127.1377,37.533671,12:30:08,normal,completed,vehicle_004,0.727,12:41:13,12:51:13
SP070,서울특별시 송파구 석촌동 56-26,127.102171,37.505086,13:56:56,call,completed,vehicle_004,0.204,14:01:35,14:11:35
